PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
353,40,0.1764,150,,,,4.392621,,,4.721184
354,40,0.1764,150,,,,4.392621,,,4.721184
355,40,0.1764,150,,,,4.392621,,,4.721184
356,40,0.1764,150,,,,4.392621,,,4.721184
357,40,0.1764,150,,,,4.392621,,,4.721184
358,40,0.1764,150,,,,4.392621,,,4.721184
359,40,0.1764,150,,,,4.392645,,,4.721183
360,40,0.1764,150,,,,4.392645,,,4.721207
361,40,0.1764,150,,,,4.392645,,,4.721207
362,40,0.1764,150,,,,4.392645,,,4.721207
363,40,0.1764,150,,,,4.392645,,,4.721207
364,40,0.1764,150,,,,4.392645,,,4.721207
365,40,0.1764,150,,,,4.392645,,,4.721207
366,40,0.1764,150,,,,4.392645,,,4.721183
367,55,19.0698,560.309434,,,,4.9761,,,6.18
368,55,19.0478,560.309434,,,,4.9761,,,6.18
369,55,18.9816,560.309434,,,,5.8297,,,6.93
370,55,18.8714,560.309434,,,,5.8297,,,6.93
371,20,2.6786,1437.160714,,,,21.567889,,,21.567889
372,60,2.099,1410.264423,,,,,6.168275,,6.125763
373,20,0.4365,612,,21.427218,,17.7,,,
374,50,12.0076,49503.41466,,,,,11.663914,,17.273934
375,20,9.8573,3810.480992,33.1662,31.2675,,,,,
376,20,9.8573,3810.480992,33.1662,31.294075,,,,,
377,15,5.4233,3375,,,,29.5132,,,29.5171
378,15,5.6107,3375,,,,29.5132,,,29.9428
379,20,0.49,5025,,,1.395208,,2.197522,,
380,60,3.0412,2700,,7.022358,,,,,5.886741
381,55,0.7531,160.1727871,,,5.684569583,,,,5.469
382,40,0.3269,627.0895313,,,,,5.028276,,3.714579
383,40,0.2735,1274.13,,,,,4.987954,,3.020947
384,55,0.3044,266.5685877,,,,,1.705417,,2.014529
385,55,0.3044,266.5685877,,,,,1.705417,,2.014529
386,20,2.0523,29386.98693,1.296024,,,,1.140916,,
387,20,2.0618,29386.98693,1.296024,,,,1.140916,,
388,50,12.0076,49503.41466,,,,,11.668496,,17.273934
389,50,5.6438,1555.2,,,,,9.58369,,10.702749
390,50,5.6438,1555.2,,,,,9.58369,,10.702749
391,40,0.1764,150,,,,4.392645,,,4.721207
392,40,0.1764,150,,,,4.392621,,,4.721184
393,80,0.5266,138.8235294,,,10.603583,,,,12.52
394,60,4.3778,43377.56641,,,,,13.995754,,14.015888
395,80,95.824,1319.723039,,,,38.892125,,,38.892409
396,20,24.2506,3088.8,54.637494,,,54.859117,,,
397,20,25.0332,3088.8,53.113205,,,53.334829,,,
398,20,25.0443,3088.8,53.002255,,,53.223878,,,
399,80,88.691,1460,,,,45.191437,,,44.32929708
400,40,2.6618,2250,,,,13.041068,,,12.00884
401,40,2.6618,2250,,,,13.041068,,,12.00884
402,40,2.8239,2250,,,,19.873845,,,21.894068
403,40,2.8239,2250,,,,19.873845,,,21.894068
404,50,18.6416,14854.77,,,,,9.052179,,13.753996
405,50,16.314,9264,24.142502,,,,,,32.110704
406,50,16.391,9264,29.543198,,,,,,35.915339
407,20,0.1852,180,,7.903933,,7.788,,,
408,20,0.8248,1610.466667,2.156943,,2.884063,,,,
409,50,22.6245,26052.19355,18.742501,,,,6.946297,,
410,50,2.425,328.0208333,,,,1.70933,,,1.614623
411,50,2.425,328.0208333,,,,1.70933,,,1.614623
412,15,25.6615,10426.09263,,,228.730834,,,,228.730834
413,15,5.732,2084.4,,,,25.901293,,,29.099916
414,80,1.4581,3463.802885,,,,,1.700835,,2.8137
415,50,11.1456,27491.1,,,,,9.431186333,,14.032589
416,80,1.2456,270,,,,24.952517,19.8391,,
417,50,13.0623,6158.454545,,,,20.510986,,,19.740523
